"simscenarios","lambda.scenario","scenario","phi1.obs","phi1.true","phiad.obs","phiad.true","fec.obs","fec.true","det.abund","det.MR","det.prod","lambda"
5,"Stable",25,0.321022541946662,0.34,0.693357188403714,0.7,0.935596420671657,0.875,"M","M","M","M"
5,"Stable",5,0.552981285822898,0.54,0.441275160252111,0.44,1.0253705258017,1.05,"M","M","M","M"
5,"Stable",14,0.736571898903924,0.6,0.122014232069253,0.12,1.19027605726316,1.475,"M","M","M","M"
5,"Stable",21,0.704354995659504,0.82,0.415082101527762,0.42,0.825173057249279,0.7,"M","M","M","M"
5,"Stable",22,0.74276317828487,0.61,0.136780247426219,0.15,1.16727926022102,1.4,"M","M","M","M"
5,"Stable",11,0.554816610413306,0.56,0.436839790887213,0.43,0.994500835358916,1,"M","M","M","M"
6,"Stable",19,0.391439025526587,0.24,0.466699299379142,0.47,1.38105211513944,2.25,"H","H","H","M"
6,"Stable",12,0.568702808466488,0.29,0.140016133544627,0.13,1.49630596043401,3,"H","H","H","M"
6,"Stable",9,0.854309103071237,0.92,0.195444030318977,0.19,0.936597392592025,0.875,"H","H","H","M"
6,"Stable",2,0.509400129934699,0.45,0.416121422780505,0.42,1.12251104903332,1.275,"H","H","H","M"
6,"Stable",1,0.806912515482975,0.76,0.14981219393159,0.15,1.05880589885278,1.125,"H","H","H","M"
6,"Stable",10,0.34594933110026,0.2,0.497407783758084,0.5,1.42624091172231,2.475,"H","H","H","M"
6,"Stable",24,0.724985897688689,0.88,0.44382907700392,0.45,0.765841875739456,0.625,"H","H","H","M"
6,"Stable",25,0.324188906698555,0.34,0.690599941341127,0.7,0.936330856512801,0.875,"H","H","H","M"
6,"Stable",3,0.506320019624572,0.42,0.397236981506959,0.4,1.17157297305652,1.425,"H","H","H","M"
6,"Stable",17,0.395416662802149,0.46,0.665080112489946,0.67,0.815076598658162,0.7,"H","H","H","M"
6,"Stable",15,0.830439741950889,0.79,0.108107918172358,0.1,1.07616701005101,1.15,"H","H","H","M"
6,"Stable",20,0.820338017274713,0.83,0.186492400078607,0.18,0.999182826586309,1,"H","H","H","M"
6,"Stable",14,0.733051349719626,0.6,0.122018920186691,0.12,1.19387959706018,1.475,"H","H","H","M"
6,"Stable",18,0.618034053805611,0.57,0.341575492356202,0.34,1.07062541872786,1.175,"H","H","H","M"
6,"Stable",4,0.186974975408453,0.18,0.816988235070533,0.82,1.02119090939965,1.05,"H","H","H","M"
6,"Stable",22,0.726385828476111,0.61,0.154432691635803,0.15,1.17139330754223,1.4,"H","H","H","M"
6,"Stable",13,0.170558859615741,0.2,0.859289233066308,0.86,0.806948150946223,0.675,"H","H","H","M"
6,"Stable",8,0.661155525149461,0.44,0.114195539411326,0.11,1.34114846014907,2.025,"H","H","H","M"
6,"Stable",6,0.380212122466747,0.44,0.694832926849744,0.7,0.824566764563865,0.7,"H","H","H","M"
6,"Stable",21,0.695821400771423,0.82,0.417225577461901,0.42,0.829495249819,0.7,"H","H","H","M"
6,"Stable",11,0.552452651513206,0.56,0.432492371968491,0.43,0.999895153209289,1,"H","H","H","M"
6,"Stable",5,0.549351875915736,0.54,0.442812438647526,0.44,1.02274021612975,1.05,"H","H","H","M"
6,"Stable",16,0.504344700886304,0.6,0.602537013828774,0.6,0.797174246347873,0.675,"H","H","H","M"
6,"Stable",23,0.571692599210593,0.53,0.391676542224648,0.39,1.06925097700553,1.15,"H","H","H","M"
6,"Stable",7,0.528826052918596,0.59,0.521061835782027,0.52,0.885594131316446,0.8,"H","H","H","M"
7,"Increasing",1,0.185453265546462,0.12,0.803655518049236,0.81,1.33641250723192,2.025,"L","L","L","H"
7,"Increasing",8,0.661116574007913,0.76,0.490474580539353,0.49,0.858690718262034,0.75,"L","L","L","H"
7,"Increasing",19,0.216116177533505,0.15,0.776857776650802,0.77,1.3041411471981,1.925,"L","L","L","H"
7,"Increasing",12,0.319688135511736,0.43,0.827855072863724,0.83,0.675640228723651,0.5,"L","L","L","H"
7,"Increasing",2,0.739729403662102,0.56,0.152868648886753,0.19,1.22085954423723,1.55,"L","L","L","H"
7,"Increasing",14,0.443128219872272,0.28,0.445492152152143,0.45,1.35403500500668,2.125,"L","L","L","H"
7,"Increasing",7,0.525298111223286,0.5,0.487658523777316,0.49,1.05035210675391,1.1,"L","L","L","H"
7,"Increasing",9,0.136951139978366,0.18,0.969071265186086,0.97,0.673649589644893,0.5,"L","L","L","H"
7,"Increasing",22,0.727370393591652,0.6,0.177846898977594,0.17,1.19898826478451,1.475,"L","L","L","H"
7,"Increasing",18,0.304863164247511,0.39,0.836380451501929,0.84,0.711212578732368,0.55,"L","L","L","H"
7,"Increasing",4,0.410593443780132,0.34,0.57509720136888,0.58,1.14915911332929,1.375,"L","L","L","H"
7,"Increasing",24,0.826413439661513,0.86,0.260845249512427,0.26,0.958011866456585,0.925,"L","L","L","H"
7,"Increasing",3,0.666281460224753,0.57,0.293093616786171,0.3,1.14399027461037,1.325,"L","L","L","H"
7,"Increasing",15,0.157878031410811,0.16,0.898662449285563,0.9,1.00101281236757,1,"L","L","L","H"
7,"Increasing",17,0.106458146805808,0.13,0.959689911464966,0.95,0.886176596609233,0.8,"L","L","L","H"
7,"Increasing",10,0.170308117650937,0.1,0.813259167931804,0.81,1.43305401488724,2.45,"L","L","L","H"
